country,code,pop,gdp,gdp_ppp,ghg,electricity
Turks and Caicos Islands,TCA,38718.0,924583000.0,817801817.19498,239.9041064556602,0.191666666666666
Tuvalu,TUV,11792.0,48855550.2030142,52014548.7407496,6.659577627500001,0.0
Uganda,UGA,45741000.0,37372032557.5944,99605411950.4746,49113.85959918164,4.48247666666666
Ukraine,UKR,44134693.0,155582008717.426,516683352052.86,282032.133575363,138.80601
United Arab Emirates,ARE,9890400.0,421142267937.372,655789431869.825,263692.037823886,129.995333333333
United Kingdom,GBR,67215293.0,2707743777173.91,2797979690593.28,453453.0702037562,340.594478515999
United States,USA,329484123.0,20936600000000.0,19846716175352.9,6150046.1724600345,4199.37206555
Uruguay,URY,3473727.0,53628827440.3582,75061787659.9949,41036.28871656656,14.853188
Uzbekistan,UZB,34232050.0,57707189945.4214,239424757008.848,178469.62570993957,60.9510203333333
Vanuatu,VUT,307150.0,854793640.145606,848591374.918495,748.116716565451,0.0744293333333333
"Venezuela, Bolivarian Republic of",VEN,28435943.0,,,212638.5130026107,88.12064
Viet Nam,VNM,97338583.0,271158442059.082,798208684067.002,417662.87571151386,260.531964592515
"Virgin Islands, British",VGB,30237.0,,,188.0643468456334,0.069558
"Virgin Islands, U.S.",VIR,106290.0,,,64.373812586365,0.575573333333333
Yemen,YEM,29825968.0,,,27438.786239382633,2.51347999999999
Zambia,ZMB,18383956.0,19320053859.279,60116181622.7125,28931.435344970378,15.5542889999999
Zimbabwe,ZWE,14862927.0,16768513442.6415,40794138374.7878,31703.281094324702,9.1011
